#gene	newname	num_of_conditions_in	conditions
TMCC2.p1	ENSGALT00000050468.2	4	dark_TEL_left_up, dark_TEL_up_left_vs_right, LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up, LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
KBTBD4.p1	ENSGALT00000013128.6	2	dark_TEL_left_up, dark_TEL_up_left_vs_right, 
USP24.p1	ENSGALT00000059062.2	3	dark_TEL_left_up, dark_TEL_up_left_vs_right, LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
PLEKHH1.p1	ENSGALT00000063079.2	2	dark_TEL_left_up, dark_TEL_up_left_vs_right, 
RFX2.p1	ENSGALT00000095394.1	3	dark_TEL_left_up, dark_TEL_up_left_vs_right, LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
ARFGEF3.p1	ENSGALT00000047106.2	2	dark_TEL_left_up, dark_TEL_up_left_vs_right, 
DCBLD2.p1	ENSGALT00000102657.1	2	dark_TEL_left_up, dark_TEL_up_left_vs_right, 
KCNMA1.p1	ENSGALT00000085233.2	2	dark_TEL_left_up, dark_TEL_up_left_vs_right, 
TBC1D4.p1	ENSGALT00000056657.2	2	dark_TEL_left_up, dark_TEL_up_left_vs_right, 
CENPF.p1	ENSGALT00000084212.2	3	dark_TEL_left_up, dark_TEL_up_left_vs_right, LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
SPATA13.p1	ENSGALT00000102304.1	2	dark_TEL_left_up, dark_TEL_up_left_vs_right, 
FLNB.p1	ENSGALT00000055290.2	3	dark_TEL_left_up, dark_TEL_up_left_vs_right, LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
YRDC.p1	ENSGALT00000100422.1	4	dark_TEL_left_up, dark_TEL_up_left_vs_right, LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up, LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
RASGEF1A.p1	ENSGALT00000034231.5	3	dark_TEL_left_up, dark_TEL_up_left_vs_right, LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up, 
PLEKHM3.p1	ENSGALT00000070770.2	2	dark_TEL_left_up, dark_TEL_up_left_vs_right, 
FAT3.p1	ENSGALT00000101402.1	3	dark_TEL_left_up, dark_TEL_up_left_vs_right, LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up, 
MYO18A.p1	ENSGALT00000100461.1	2	dark_TEL_left_up, dark_TEL_up_left_vs_right, 
MAPK8IP1.p1	ENSGALT00000054366.2	4	dark_TEL_left_up, dark_TEL_up_left_vs_right, LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up, LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_24H_up, 
STAG2.p1	ENSGALT00000063371.2	2	dark_TEL_left_up, dark_TEL_up_left_vs_right, 
GOT2.p1	ENSGALT00000089124.2	2	dark_TEL_left_up, dark_TEL_up_left_vs_right, 
IL17RD.p1	ENSGALT00000008827.6	3	dark_TEL_left_up, dark_TEL_up_left_vs_right, LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up, 
CTCF.p1	ENSGALT00000002811.4	3	dark_TEL_left_up, dark_TEL_up_left_vs_right, LEFT_DARK_TEL_VS_LIGHT_TEL_RIGHT_6H_up, 
PPP2R5C.p1	ENSGALT00000086659.2	2	dark_RET_up_right_vs_left, DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP, 
EP400.p1	ENSGALT00000095730.1	2	dark_RET_up_right_vs_left, LIGHT_TEL_RIGHT_6H, 
PCDH1.p1	ENSGALT00000104852.1	1	dark_RET_up_right_vs_left, 
PRKA.p1	ENSGALT00000077603.2	3	dark_RET_up_right_vs_left, DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP, DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP, 
RBM43.p1	ENSGALT00000099806.1	2	dark_RET_up_right_vs_left, DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP, 
KMT2C.p1	ENSGALT00000101855.1	1	dark_RET_up_right_vs_left, 
ACOT7.p1	ENSGALT00000087758.2	1	dark_RET_up_right_vs_left, 
GRIP2.p1	ENSGALT00000049228.2	3	dark_RET_up_right_vs_left, DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP, DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP, 
CADM1.p1	ENSGALT00000057839.2	1	dark_RET_up_right_vs_left, 
USP34.p1	ENSGALT00000107765.1	2	dark_RET_up_right_vs_left, DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP, 
Hsp110.p1	ENSGALT00000098212.1	2	dark_RET_up_right_vs_left, DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP, 
ALG8.p1	ENSGALT00000088712.2	1	dark_RET_up_right_vs_left, 
AFF2.p1	ENSGALT00000095758.1	2	dark_RET_up_right_vs_left, DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP, 
ANK1.p1	ENSGALT00000091547.1	1	dark_RET_up_right_vs_left, 
APC.p1	ENSGALT00000056056.2	1	dark_RET_up_right_vs_left, 
PLXNA2.p1	ENSGALT00000101458.1	1	dark_RET_up_right_vs_left, 
RAPGEF2.p1	ENSGALT00000076253.2	3	dark_RET_up_right_vs_left, DARK_LEFT_RET_VS_LIGHT_RET_LEFT_6H_UP, DARK_RET_LEFT_VS_LIGHT_RET_LEFT_24H_UP, 
PIGQ.p1	ENSGALT00000098671.1	1	dark_RET_up_right_vs_left, 
SYNE1.p1	ENSGALT00000048947.2	1	dark_RET_up_right_vs_left, 
ZNF438.p1	ENSGALT00000107568.1	1	dark_RET_up_left_vs_right, 
GCN1.p1	ENSGALT00000104567.1	1	dark_RET_up_left_vs_right, 
DARS.p1	ENSGALT00000050094.2	3	dark_RET_up_left_vs_right, LIGHT_TEL_LEFT_6H, LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up, 
LAMA5.p1	ENSGALT00000095348.1	1	dark_RET_up_left_vs_right, 
NPRL3.p1	ENSGALT00000039730.4	1	dark_RET_up_left_vs_right, 
ARL2BP.p1	ENSGALT00000061751.2	1	dark_RET_up_left_vs_right, 
KIF16B.p1	ENSGALT00000102380.1	3	dark_RET_up_left_vs_right, LIGHT_RET_RIGHT_6H_UP, LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up, 
WDR26.p1	ENSGALT00000104120.1	2	dark_RET_up_left_vs_right, LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up, 
SYNE3.p1	ENSGALT00000108144.1	1	dark_RET_up_left_vs_right, 
BCOR.p1	ENSGALT00000036653.4	3	dark_RET_up_left_vs_right, LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up, LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up, 
FRMD3.p1	ENSGALT00000020544.6	1	dark_RET_up_left_vs_right, 
BMT2.p1	ENSGALT00000097526.1	1	dark_RET_up_left_vs_right, 
FRYL.p1	ENSGALT00000096883.1	2	dark_RET_up_left_vs_right, LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up, 
CAMSAP1.p1	ENSGALT00000061740.2	1	dark_RET_up_left_vs_right, 
GSN.p1	ENSGALT00000084418.2	2	dark_RET_up_left_vs_right, LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_24H_up, 
TXNRD2.p1	ENSGALT00000079571.3	1	dark_RET_up_left_vs_right, 
SDC4.p1	ENSGALT00000006265.5	1	dark_RET_up_left_vs_right, 
ANKRD11.p1	ENSGALT00000108365.1	1	dark_RET_up_left_vs_right, 
tre-2/USP6,.p1	ENSGALT00000069912.2	2	dark_RET_up_left_vs_right, LIGHT_RET_LEFT_6H_UP, 
PRDM15.p1	ENSGALT00000090664.1	2	dark_RET_up_left_vs_right, LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up, 
DOCK10.p1	ENSGALT00000095459.1	1	dark_TEL_up_right_vs_left, 
LCOR.p1	ENSGALT00000068230.2	1	dark_TEL_up_right_vs_left, 
NCOA6.p1	ENSGALT00000071428.2	1	dark_TEL_up_right_vs_left, 
GRIA3.p1	ENSGALT00000100542.1	1	dark_TEL_up_right_vs_left, 
GLRX3.p1	ENSGALT00000107907.1	1	dark_TEL_up_right_vs_left, 
RPGR.p1	ENSGALT00000094542.1	1	dark_TEL_up_right_vs_left, 
RASAL2.p1	ENSGALT00000099296.1	1	dark_TEL_up_right_vs_left, 
ENOX2.p1	ENSGALT00000050546.2	1	dark_TEL_up_right_vs_left, 
FAM133B.p1	ENSGALT00000015427.6	1	dark_TEL_up_right_vs_left, 
DDHD2.p1	ENSGALT00000053432.2	1	dark_TEL_up_right_vs_left, 
EPHA5.p1	ENSGALT00000102752.1	1	dark_TEL_up_right_vs_left, 
RBBP6.p1	ENSGALT00000104922.1	1	dark_TEL_up_right_vs_left, 
ZFPM2.p1	ENSGALT00000095082.1	1	dark_TEL_up_right_vs_left, 
POLR3B.p1	ENSGALT00000108225.1	1	dark_TEL_up_right_vs_left, 
NDC1.p1	ENSGALT00000079159.2	1	dark_TEL_up_right_vs_left, 
LOC107050835.p1	ENSGALT00000095050.1	1	dark_TEL_up_right_vs_left, 
SHPRH.p1	ENSGALT00000103639.1	1	dark_TEL_up_right_vs_left, 
PTPN4.p1	ENSGALT00000018933.6	1	dark_TEL_up_right_vs_left, 
DNMBP.p1	ENSGALT00000011823.7	1	dark_TEL_up_right_vs_left, 
DISP1.p1	ENSGALT00000101847.1	1	dark_TEL_up_right_vs_left, 
TRAF2.p1	ENSGALT00000067256.2	1	dark_TEL_up_right_vs_left, 
BRD8.p1	ENSGALT00000092628.1	1	dark_TEL_up_right_vs_left, 
LOC107051050.p1	ENSGALT00000100676.1	1	dark_TEL_up_right_vs_left, 
BAG3.p1	ENSGALT00000088658.2	1	LIGHT_RET_RIGHT_6H_UP, 
ARHGAP10.p1	ENSGALT00000016293.5	1	LIGHT_RET_RIGHT_6H_UP, 
PTPRVP.p1	ENSGALT00000098251.1	2	LIGHT_RET_RIGHT_6H_UP, LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up, 
FNDC3A.p1	ENSGALT00000091251.1	2	LIGHT_RET_RIGHT_6H_UP, LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up, 
RIMS2.p1	ENSGALT00000093663.1	1	LIGHT_RET_RIGHT_6H_UP, 
ZNF236.p1	ENSGALT00000056093.2	2	LIGHT_RET_RIGHT_6H_UP, LIGHT_TEL_RIGHT_6H, 
NFE2L1.p1	ENSGALT00000093748.1	2	LIGHT_RET_RIGHT_6H_UP, LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up, 
KIAA1462.p1	ENSGALT00000100158.1	2	LIGHT_RET_RIGHT_6H_UP, LEFT_DARK_RET_VS_LIGHT_RET_RIGHT_6H_up, 
PRKACB.p1	ENSGALT00000078406.2	1	LIGHT_RET_RIGHT_6H_UP, 
