#PREVIUS_GENE_OF_INTEREST	NUM_IN_COMMON	condition1	OTHER_conditions	GENE (with converted_name)
NO	0	dark_TEL_left_up	dark_RET_up_right_vs_left_intersection	
NO	0	dark_TEL_left_up	dark_RET_up_left_vs_right_intersection	
NO	0	dark_TEL_left_up	dark_TEL_up_right_vs_left_intersection	
NO	22	dark_TEL_left_up	dark_TEL_up_left_vs_right_intersection	 TMCC2.p1: ENSGALT00000050468.2,  KBTBD4.p1: ENSGALT00000013128.6,  USP24.p1: ENSGALT00000059062.2,  PLEKHH1.p1: ENSGALT00000063079.2,  RFX2.p1: ENSGALT00000095394.1,  ARFGEF3.p1: ENSGALT00000047106.2,  DCBLD2.p1: ENSGALT00000102657.1,  KCNMA1.p1: ENSGALT00000085233.2,  TBC1D4.p1: ENSGALT00000056657.2,  CENPF.p1: ENSGALT00000084212.2,  SPATA13.p1: ENSGALT00000102304.1,  FLNB.p1: ENSGALT00000055290.2,  YRDC.p1: ENSGALT00000100422.1,  RASGEF1A.p1: ENSGALT00000034231.5,  PLEKHM3.p1: ENSGALT00000070770.2,  FAT3.p1: ENSGALT00000101402.1,  MYO18A.p1: ENSGALT00000100461.1,  MAPK8IP1.p1: ENSGALT00000054366.2,  STAG2.p1: ENSGALT00000063371.2,  GOT2.p1: ENSGALT00000089124.2,  IL17RD.p1: ENSGALT00000008827.6,  CTCF.p1: ENSGALT00000002811.4, 
NO	0	dark_TEL_left_up	LIGHT_RET_RIGHT_6H_UP_intersection	
NO	0	dark_TEL_left_up	LIGHT_RET_LEFT_6H_UP_intersection	
NO	0	dark_TEL_left_up	LIGHT_TEL_RIGHT_6H_intersection	
NO	0	dark_TEL_left_up	LIGHT_TEL_LEFT_6H_intersection	
NO	0	dark_TEL_left_up	LIGHT_RET_LEFT_24H_up_intersection	
NO	0	dark_TEL_left_up	LIGHT_RET_RIGHT_24H_up_intersection	
NO	0	dark_TEL_left_up	LIGHT_TEL_LEFT_24H_up_intersection	
